;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
28123522; 1.406; 2.531; 4.316; 0.782; 49.6; 32.3; 49.3; 50.2; 63.6; 1270.0; 1269.0; 497.0; 1268.0; 49:50.103
28143523; 1.285; 2.366; 4.28; 0.775; 49.6; 32.3; 49.3; 50.2; 63.6; 1271.0; 1270.0; 497.0; 1269.0; 50:12.365
28163524; 1.4; 2.521; 4.299; 0.775; 49.5; 32.3; 49.3; 50.2; 63.6; 1270.0; 1269.0; 497.0; 1268.0; 50:35.422
28183525; 1.396; 2.508; 4.299; 0.782; 49.5; 32.3; 49.3; 50.2; 63.6; 1270.0; 1269.0; 497.0; 1268.0; 50:57.747
28203526; 1.403; 2.531; 4.299; 0.782; 49.6; 32.3; 49.4; 50.2; 63.6; 1270.0; 1269.0; 496.0; 1268.0; 51:20.24
28223527; 0.886; 2.033; 4.28; 0.778; 49.6; 32.3; 49.4; 50.2; 63.6; 1272.0; 1270.0; 497.0; 1269.0; 51:42.380
28243528; 1.396; 2.515; 4.299; 0.782; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 496.0; 1268.0; 52:4.927
28263529; 1.403; 2.521; 4.299; 0.782; 49.6; 32.3; 49.4; 50.2; 63.6; 1270.0; 1269.0; 497.0; 1268.0; 52:27.582
28283530; 1.4; 2.521; 4.293; 0.782; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 496.0; 1268.0; 52:50.237
28303531; 1.396; 2.508; 4.293; 0.782; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 53:12.517
28323532; 1.403; 2.531; 4.293; 0.782; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 53:34.922
28343533; 1.396; 2.465; 4.293; 0.782; 49.5; 32.3; 49.4; 50.2; 63.6; 1271.0; 1269.0; 497.0; 1268.0; 53:57.265
28363534; 1.39; 2.426; 4.293; 0.782; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1269.0; 54:19.842
28383535; 1.396; 2.488; 4.293; 0.782; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 496.0; 1268.0; 54:42.856
28403536; 0.948; 2.142; 4.274; 0.775; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1269.0; 55:5.417
28423537; 1.396; 2.482; 4.29; 0.782; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1269.0; 55:27.947
28443538; 1.331; 2.376; 4.274; 0.778; 49.6; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 55:50.368
28463539; 1.403; 2.511; 4.28; 0.782; 49.6; 32.3; 49.4; 50.2; 63.6; 1271.0; 1269.0; 497.0; 1268.0; 56:12.913
28483540; 1.39; 2.412; 4.287; 0.782; 49.6; 32.3; 49.4; 50.2; 63.6; 1271.0; 1270.0; 497.0; 1269.0; 56:36.457
28503541; 1.396; 2.495; 4.28; 0.778; 49.5; 32.3; 49.4; 50.2; 63.6; 1271.0; 1269.0; 497.0; 1268.0; 56:59.487
28523542; 1.403; 2.518; 4.299; 0.782; 49.5; 32.4; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 57:22.189
28543543; 1.305; 2.343; 4.267; 0.775; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1269.0; 57:44.810
28563544; 1.275; 2.33; 4.274; 0.782; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1269.0; 58:7.10
28583545; 1.122; 2.277; 4.274; 0.775; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1270.0; 497.0; 1269.0; 58:29.507
28603546; 1.239; 2.33; 4.27; 0.778; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1270.0; 497.0; 1269.0; 58:52.19
28623547; 1.292; 2.35; 4.274; 0.778; 49.5; 32.3; 49.4; 50.3; 63.5; 1271.0; 1269.0; 497.0; 1269.0; 59:14.906
28643548; 0.886; 2.026; 4.251; 0.775; 49.5; 32.3; 49.4; 50.3; 63.5; 1271.0; 1270.0; 497.0; 1269.0; 59:37.777
28663549; 1.396; 2.495; 4.287; 0.782; 49.5; 32.3; 49.5; 50.3; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 0:0.476
28683550; 1.318; 2.356; 4.27; 0.778; 49.5; 32.3; 49.5; 50.3; 63.6; 1271.0; 1270.0; 497.0; 1269.0; 0:22.911
28703551; 0.981; 2.175; 4.274; 0.778; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1270.0; 497.0; 1269.0; 0:45.423
28723552; 1.331; 2.363; 4.274; 0.782; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 1:8.44
28743553; 0.925; 2.125; 4.27; 0.778; 49.5; 32.3; 49.4; 50.2; 63.5; 1271.0; 1270.0; 497.0; 1269.0; 1:30.619
28763554; 1.213; 2.31; 4.27; 0.778; 49.6; 32.3; 49.5; 50.3; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 1:52.975
28783555; 1.076; 2.241; 4.27; 0.775; 49.6; 32.3; 49.5; 50.3; 63.5; 1271.0; 1270.0; 496.0; 1269.0; 2:15.518
28803556; 1.396; 2.488; 4.287; 0.782; 49.6; 32.3; 49.5; 50.3; 63.5; 1271.0; 1269.0; 497.0; 1268.0; 2:37.921
28823557; 0.837; 1.703; 4.251; 0.775; 49.6; 32.3; 49.5; 50.3; 63.5; 1272.0; 1270.0; 497.0; 1269.0; 3:0.214
28843558; 0.831; 1.597; 4.251; 0.775; 49.6; 32.3; 49.5; 50.3; 63.5; 1272.0; 1270.0; 497.0; 1269.0; 3:23.724
28863559; 0.785; 1.313; 4.121; 0.768; 49.6; 32.3; 49.5; 50.3; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 3:45.907
28883560; 0.785; 1.313; 4.121; 0.772; 49.5; 32.3; 49.5; 50.3; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 4:8.357
34909423; 0.667; 0.98; 4.134; 0.778; 49.7; 32.2; 49.5; 50.2; 63.4; 1273.0; 1273.0; 497.0; 1270.0; 41:49.975
34929424; 0.798; 1.436; 4.141; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1272.0; 1270.0; 497.0; 1269.0; 42:14.485
34949425; 1.207; 2.185; 4.137; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1271.0; 1270.0; 497.0; 1269.0; 42:35.617
34969426; 1.419; 2.353; 4.137; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 42:56.874
34989427; 1.436; 2.429; 4.141; 0.775; 49.7; 32.2; 49.6; 50.3; 63.4; 1271.0; 1269.0; 497.0; 1268.0; 43:19.461
35009428; 1.442; 2.442; 4.141; 0.778; 49.7; 32.2; 49.6; 50.3; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 43:40.349
35029429; 1.462; 2.498; 4.141; 0.775; 49.6; 32.3; 49.5; 50.3; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 44:1.118
35049430; 1.491; 2.534; 4.134; 0.778; 49.6; 32.3; 49.5; 50.2; 63.3; 1270.0; 1268.0; 497.0; 1268.0; 44:22.159
35069431; 1.481; 2.544; 4.134; 0.775; 49.6; 32.3; 49.5; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 44:43.665
35089432; 1.462; 2.528; 4.144; 0.778; 49.6; 32.3; 49.4; 50.2; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 45:5.438
35109433; 1.472; 2.554; 4.154; 0.778; 49.6; 32.3; 49.4; 50.2; 63.3; 1270.0; 1269.0; 497.0; 1268.0; 45:27.211
35129434; 1.465; 2.548; 4.141; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 45:48.982
35149435; 1.478; 2.577; 4.141; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 46:17.649
35169436; 1.452; 2.548; 4.144; 0.778; 49.6; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 46:49.167
35189437; 1.458; 2.564; 4.144; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 47:21.281
35209438; 1.452; 2.558; 4.144; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 47:53.810
35229439; 1.462; 2.577; 4.163; 0.778; 49.6; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1269.0; 48:15.934
35249440; 1.455; 2.571; 4.141; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 48:37.169
35269441; 1.462; 2.591; 4.144; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 48:58.199
35289442; 1.452; 2.577; 4.154; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 49:19.453
35309443; 1.458; 2.574; 4.154; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 49:40.668
35329444; 1.445; 2.554; 4.144; 0.775; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 50:2.121
35349445; 1.458; 2.564; 4.144; 0.775; 49.6; 32.3; 49.4; 50.2; 63.4; 1270.0; 1269.0; 497.0; 1268.0; 50:23.621
35369446; 1.455; 2.571; 4.144; 0.778; 49.5; 32.3; 49.4; 50.2; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 50:44.877
35389447; 1.449; 2.564; 4.144; 0.778; 49.5; 32.4; 49.5; 50.3; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 51:5.922
35409448; 0.791; 1.422; 4.141; 0.775; 49.5; 32.3; 49.5; 50.3; 63.4; 1273.0; 1271.0; 497.0; 1269.0; 51:28.347
35429449; 0.788; 1.33; 4.141; 0.778; 49.5; 32.3; 49.5; 50.3; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 51:50.144
35449450; 1.455; 2.564; 4.154; 0.778; 49.5; 32.3; 49.5; 50.3; 63.4; 1270.0; 1268.0; 497.0; 1268.0; 52:11.739
