;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
47982590; 1.177; 2.293; 4.293; 0.775; 49.2; 32.7; 49.2; 49.9; 63.4; 1271.0; 1270.0; 497.0; 1269.0; 21:14.88
48002591; 0.87; 1.831; 4.254; 0.775; 49.3; 32.7; 49.2; 49.9; 63.4; 1272.0; 1271.0; 497.0; 1269.0; 21:36.926
48022592; 0.889; 1.901; 4.183; 0.775; 49.3; 32.7; 49.2; 49.9; 63.4; 1272.0; 1270.0; 497.0; 1269.0; 21:59.329
48042593; 0.821; 1.535; 4.196; 0.775; 49.3; 32.7; 49.2; 49.9; 63.4; 1272.0; 1271.0; 497.0; 1269.0; 22:22.100
48062594; 0.798; 1.482; 4.322; 0.775; 49.3; 32.7; 49.2; 49.9; 63.4; 1272.0; 1271.0; 497.0; 1269.0; 22:46.412
48082595; 0.798; 1.459; 4.309; 0.778; 49.3; 32.7; 49.2; 49.9; 63.4; 1273.0; 1271.0; 497.0; 1269.0; 23:9.5
48102596; 0.788; 1.323; 4.309; 0.775; 49.3; 32.7; 49.2; 49.9; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 23:31.697
48122597; 0.782; 1.28; 4.322; 0.775; 49.3; 32.7; 49.2; 49.9; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 23:54.155
48142598; 0.785; 1.29; 4.322; 0.778; 49.3; 32.6; 49.2; 49.9; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 24:17.184
48162599; 0.615; 0.907; 4.322; 0.778; 49.3; 32.6; 49.2; 49.9; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 24:41.313
