;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
30893906; 0.785; 1.304; 4.125; 0.775; 49.5; 32.2; 49.3; 50.1; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 34:54.143
30913907; 0.785; 1.297; 4.115; 0.772; 49.6; 32.2; 49.3; 50.1; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 35:16.216
30933908; 0.785; 1.294; 4.121; 0.775; 49.6; 32.2; 49.4; 50.1; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 35:38.34
30953909; 0.785; 1.313; 4.121; 0.772; 49.6; 32.2; 49.4; 50.1; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 35:59.903
30973910; 0.788; 1.353; 4.121; 0.775; 49.6; 32.1; 49.4; 50.1; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 36:21.612
30993911; 0.785; 1.297; 4.121; 0.772; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 36:43.327
31013912; 0.785; 1.31; 4.121; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 37:4.966
31033913; 0.788; 1.31; 4.121; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 37:26.481
31053914; 0.788; 1.327; 4.131; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 37:48.147
31073915; 0.785; 1.3; 4.134; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 38:10.163
31093916; 0.785; 1.304; 4.134; 0.778; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 38:31.769
31113917; 0.788; 1.31; 4.131; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 38:53.464
31133918; 0.785; 1.307; 4.128; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 39:15.222
31153919; 0.785; 1.287; 4.125; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 39:37.14
31173920; 0.785; 1.297; 4.134; 0.775; 49.7; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 39:59.183
31193921; 0.785; 1.307; 4.128; 0.775; 49.7; 32.1; 49.4; 50.2; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 40:23.435
31213922; 0.785; 1.304; 4.125; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 40:46.957
31233923; 0.785; 1.304; 4.131; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 41:8.653
31253924; 0.785; 1.287; 4.128; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 41:30.494
31273925; 0.788; 1.317; 4.125; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 41:52.215
31293926; 0.785; 1.3; 4.134; 0.778; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 42:13.826
31313927; 0.785; 1.31; 4.128; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 42:36.254
31333928; 0.788; 1.31; 4.128; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 42:58.103
31353929; 0.785; 1.29; 4.134; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 43:19.874
31373930; 0.785; 1.31; 4.141; 0.778; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 43:41.975
31393931; 0.785; 1.307; 4.128; 0.778; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 44:3.903
31413932; 0.788; 1.313; 4.128; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 44:26.352
31433933; 0.788; 1.31; 4.125; 0.772; 49.7; 32.1; 49.5; 50.2; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 44:47.929
31453934; 0.785; 1.304; 4.121; 0.772; 49.7; 32.1; 49.5; 50.2; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 45:9.727
