Time	Watts	AveWatts	Volts	Amps	WattHrs	AveWttHrs	Cost	Avg_Kwh	Mo_Cost	Max_Wts	Max_Vlt	Max_Amp	Min_Wts	Min_Vlt	Min_Amp	Pwr_Fct	Dty_Cyc	Pwr_Cyc	Log_Start	Log_Stop	R1	R2
42131.63739502	134.50	132.59	224.800	0.579	359.30	349.60	0.000	85.71	0.000	143.10	0.00	0.000	128.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63762669	134.00	132.64	224.900	0.568	360.10	349.98	0.000	85.73	0.000	140.20	0.00	0.000	132.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63785825	133.30	132.66	224.900	0.557	360.80	350.35	0.000	85.75	0.000	140.90	0.00	0.000	133.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63808965	133.00	132.67	225.000	0.554	361.60	350.72	0.000	85.77	0.000	140.90	0.00	0.000	133.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63832135	138.00	133.17	225.000	0.557	362.30	351.46	0.000	85.79	0.000	141.50	0.00	0.000	131.90	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63855263	133.60	133.90	225.300	0.537	363.10	352.21	0.000	85.81	0.000	138.70	0.00	0.000	130.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63878414	133.40	134.04	225.700	0.557	363.80	352.95	0.000	85.83	0.000	133.60	0.00	0.000	132.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63901564	133.70	133.88	225.700	0.580	364.50	353.69	0.000	85.85	0.000	133.90	0.00	0.000	127.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63924726	131.10	134.40	225.800	0.541	365.30	354.44	0.000	85.86	0.000	138.90	0.00	0.000	126.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63947874	136.40	135.15	225.900	0.517	366.00	355.19	0.000	85.88	0.000	136.40	0.00	0.000	129.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63971024	128.20	134.65	226.500	0.550	366.70	355.94	0.000	85.89	0.000	136.40	0.00	0.000	126.20	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.63994184	128.20	134.41	225.900	0.546	367.40	356.68	0.000	85.90	0.000	129.60	0.00	0.000	123.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64017343	121.30	134.07	225.600	0.532	368.10	357.43	0.000	85.91	0.000	128.50	0.00	0.000	121.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64040498	125.50	133.54	224.400	0.521	368.80	358.17	0.000	85.92	0.000	129.50	0.00	0.000	121.30	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64063648	123.00	133.16	225.200	0.509	369.50	358.91	0.000	85.92	0.000	125.50	0.00	0.000	123.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64086786	122.40	132.83	224.200	0.502	370.10	359.64	0.000	85.93	0.000	124.00	0.00	0.000	116.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64109941	111.80	131.91	224.400	0.427	370.80	360.37	0.000	85.92	0.000	123.30	0.00	0.000	111.80	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64133096	111.10	130.95	224.400	0.439	371.40	361.10	0.000	85.91	0.000	112.30	0.00	0.000	111.10	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64156255	117.70	130.44	225.200	0.413	372.10	361.83	0.000	85.91	0.000	118.20	0.00	0.000	110.40	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
42131.64179383	108.50	129.56	224.800	0.402	372.70	362.55	0.000	85.90	0.000	122.00	0.00	0.000	107.00	0.000	0.000	0.0	0.0	0.0	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000
