;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
32656136;0,638;0,941;4,128;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 4:54,301;8,12812;11,97893;20,51616;9,9314
32676137;0,644;0,947;4,154;0,782;49,6;32,1;49,4;50,2;63,6;1274;1273;497;1270; 5:16,203;8,20456;12,05531;20,64538;9,9314
32696138;0,615;0,907;4,144;0,782;49,6;32,1;49,4;50,2;63,6;1274;1273;497;1270; 5:37,464;7,8351;11,54611;20,59568;9,9314
32716139;0,621;0,917;4,128;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 5:59,94;7,91154;11,67341;20,51616;9,9314
32736140;0,661;0,97;4,128;0,782;49,6;32,1;49,4;50,2;63,6;1274;1273;497;1270; 6:21,155;8,42114;12,3481;20,51616;9,9314
32756141;0,625;0,921;4,128;0,782;49,6;32,1;49,4;50,2;63,6;1274;1274;497;1270; 6:42,764;7,9625;11,73354;20,51616;9,9314
32776142;0,625;0,917;4,121;0,785;49,6;32,1;49,4;50,2;63,6;1274;1273;497;1270; 7:4,482;7,9625;11,67341;20,48137;9,9695
32796143;0,585;0,878;4,128;0,782;49,6;32,1;49,4;50,2;63,6;1275;1273;497;1270; 7:25,897;7,45875;11,17694;20,51616;9,9314
32816144;0,585;0,881;4,128;0,782;49,6;32,1;49,4;50,2;63,6;1275;1274;497;1270; 7:47,403;7,45875;11,22394;20,51616;9,9314
32836145;0,585;0,878;4,125;0,778;49,6;32,1;49,4;50,2;63,5;1275;1274;497;1271; 8:9,442;7,45875;11,18572;20,50125;9,88838
32856146;0,585;0,878;4,144;0,782;49,6;32,1;49,4;50,2;63,6;1274;1274;497;1270; 8:31,992;7,4529;11,18572;20,59568;9,9314
32876147;0,585;0,871;4,16;0,785;49,6;32,1;49,4;50,2;63,5;1275;1274;497;1271; 8:53,612;7,45875;11,09654;20,6752;9,97735
32896148;0,585;0,878;4,154;0,782;49,6;32,1;49,4;50,2;63,5;1275;1274;497;1270; 9:16,647;7,45875;11,18572;20,64538;9,9314
